,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
15072,8133,Mara Noel Barrionuevo,F,28.0,171.0,58.0,Argentina,ARG,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Silver
260961,130589,Ellen Louise Williams (-Henry),F,20.0,165.0,63.0,United States,USA,1968 Winter,1968,Winter,Grenoble,Luge,Luge Women's Singles,
209714,105305,Kaitlin Shea Sandeno (-Hogan),F,17.0,168.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,
100753,50947,Zdravko Huljev,M,19.0,191.0,85.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,
66761,34150,Stephen Michael Farrell,M,27.0,183.0,73.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,
225559,113341,Joef oti,M,28.0,180.0,81.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
257094,128739,Archibald Adam Warden,M,31.0,,,United States/Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,
110263,55763,Jong Chun-Mi,F,27.0,164.0,58.0,North Korea,PRK,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Lightweight,
234764,117731,Robert Tciulet,M,24.0,,,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,
233991,117357,Zita Livia Szab,F,32.0,164.0,51.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Women's Olympic Distance,
102475,51831,"Nikolaos ""Nikos"" Iliadis",M,21.0,172.0,90.0,Greece,GRE,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middle-Heavyweight,
167961,84384,Iwao Nakayama,M,30.0,168.0,67.0,Japan,JPN,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,
94631,47888,John P. Herety,M,22.0,173.0,61.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",
121973,61668,Miwako Kobayashi,F,16.0,155.0,55.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
228153,114596,Michelle Steele,F,19.0,164.0,55.0,Australia,AUS,2006 Winter,2006,Winter,Torino,Skeleton,Skeleton Women's Skeleton,
162831,81767,Blanca Jeanette Morales Macella,F,18.0,173.0,57.0,Guatemala,GUA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Butterfly,
38761,19943,Pascal Charrire,M,31.0,184.0,72.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 50 kilometres Walk,
70353,35817,"Najuma ""Nancy"" Fletcher",F,18.0,178.0,59.0,Guyana,GUY,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's High Jump,
63482,32531,Koji Emura,M,27.0,172.0,64.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Individual",
141066,70797,Lkhagvasrengiin Otgonbaatar,M,23.0,182.0,94.0,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,
50638,26046,Giuseppe De Chirico,M,38.0,163.0,70.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",
67936,34710,"Deborah ""Debbie"" Ferguson-McKenzie",F,32.0,168.0,63.0,Bahamas,BAH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,
159378,79991,Sonia Mills,F,28.0,181.0,73.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,
100732,50936,Jenning Hein Huizenga,M,28.0,185.0,70.0,Netherlands,NED,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
192062,96436,Viktor Yakovlevich Potapov,M,29.0,174.0,74.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,
73555,37383,Gtrik Wilhelm Adolf Frykman,M,20.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Football,Football Men's Football,
31089,15991,Paolo Bucci,M,27.0,165.0,65.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Pommelled Horse,
246252,123308,Aya Umemura,F,27.0,169.0,56.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Women's Singles,
56993,29196,Hugo Dollheiser,M,24.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
1307,735,"Benjamin Maxwell ""Ben"" Acton",M,32.0,,,Australia,AUS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,
143530,72043,Julio Luciano,M,18.0,173.0,75.0,Dominican Republic,DOM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,
236170,118410,Tang Chunling,F,24.0,166.0,58.0,China,CHN,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,
40625,20933,Simon Cho,M,18.0,183.0,68.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
228460,114734,Zeke Steggall,M,30.0,182.0,91.0,Australia,AUS,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Men's Parallel Giant Slalom,
216699,108803,Aliki Sergaadu,F,21.0,167.0,52.0,Uzbekistan-1,UZB,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,
15905,8574,Alexi Batista,M,20.0,156.0,66.0,Panama,PAN,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,
210880,105905,Atsushi Sasaki,M,26.0,175.0,89.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Luge,Luge Mixed (Men)'s Doubles,
122176,61764,Henriette Koch,F,27.0,156.0,58.0,Denmark,DEN,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,
170885,85889,Augusto Nicolini Aramburu,M,31.0,178.0,81.0,Peru,PER,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed One Person Dinghy,
120966,61186,Pedro Klempa,M,22.0,,,Argentina,ARG,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,
164576,82636,Yacine Mousli,M,25.0,170.0,68.0,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,
